,Organization,Sponsorship Category,OASIS Org ID,SUFIN Account (External ID),Finance Rule Waiver,Contingency Funding,Space Reservation Funding,Final (ABSA) Allocation,Total Funding,Org Category,Years of Sponsorship
22,Asian American Research Journal,Publication (PUB),46744,34020502400000,,,,"$1,000","$1,000",Publications (PUB) Registered Student Organizations,4
23,BARE Magazine,Publication (PUB),46121,34020036400000,,,,"$6,000","$6,000",Publications (PUB) Registered Student Organizations,11
24,Berkeley Economic Review,Publication (PUB),91369,34020398000000,,,,"$1,500","$1,500",Publications (PUB) Registered Student Organizations,5
25,"Berkeley Political Review, The",Publication (PUB),46130,34020048400000,,,,"$6,750","$6,750",Publications (PUB) Registered Student Organizations,22
26,Berkeley Scientific Journal,Publication (PUB),117510,34020340800000,,,,"$3,250","$3,250",Publications (PUB) Registered Student Organizations,8
27,Blue and Gold Yearbook,Publication (PUB),46368,34020266800000,,,,"$2,250","$2,250",Publications (PUB) Registered Student Organizations,10
28,Business Review at Berkeley,Publication (PUB),91807,34020405600000,,,,$800,$800,Publications (PUB) Registered Student Organizations,5
29,Caravan Travel & Style Magazine,Publication (PUB),235072,34020432400000,,,,"$5,000","$5,000",Publications (PUB) Registered Student Organizations,7
30,Comparative Literature Publication Association,Publication (PUB),60651,34020084800000,,,,$900,$900,Publications (PUB) Registered Student Organizations,2
31,MIO (Formerly De Oro),Publication (PUB),385345,34020604800000,,,,$900,$900,Publications (PUB) Registered Student Organizations,1
32,DIASPORA Magazine,Publication (PUB),360305,34020550400000,,,,ROLLING SPONSORSHIP,$0,Publications (PUB) Registered Student Organizations,3
33,Gia Magazine,Publication (PUB),236806,34020459600000,,,,SPONSORSHIP ONLY (ABSA),$0,Publications (PUB) Registered Student Organizations,5
34,Her Campus of Berkeley,Publication (PUB),91522,34020493200000,,,,"$1,000","$1,000",Publications (PUB) Registered Student Organizations,4
35,"Heuristic Squelch, The",Publication (PUB),46176,34020125200000,,,,ROLLING SPONSORSHIP,$0,Publications (PUB) Registered Student Organizations,28
36,LIFE Campus Ministry,Publication (PUB),321243,34020605200000,,,,$350,$350,Publications (PUB) Registered Student Organizations,1
37,maganda magazine,Publication (PUB),46123,34020156800000,,,,$600,$600,Publications (PUB) Registered Student Organizations,34
38,Natural Hair Collective,Publication (PUB),377193,34020585600000,,,,"$1,100","$1,100",Publications (PUB) Registered Student Organizations,2
39,Public Health Advocate,Publication (PUB),46161,34020198800000,,,,"$2,610","$2,610",Publications (PUB) Registered Student Organizations,20
40,Spoon University at Berkeley,Publication (PUB),91325,34020221600000,,,,$500,$500,Publications (PUB) Registered Student Organizations,10
41,The Environmentalist,Publication (PUB),46503,34020587200000,,,,$900,$900,Publications (PUB) Registered Student Organizations,1
42,Threads,Publication (PUB),46116,34020016400000,,,,"$6,000","$6,000",Publications (PUB) Registered Student Organizations,25
43,To An Unknown God,Publication (PUB),46182,34020245200000,,,,"$3,000","$3,000",Publications (PUB) Registered Student Organizations,9
44,Vagabond Multicultural Journal,Publication (PUB),,,,,,ROLLING SPONSORSHIP,$0,Publications (PUB) Registered Student Organizations,3
45,Berkeley Fiction Review,Publication (PUB),,,,,,ROLLING SPONSORSHIP,$0,Publications (PUB) Registered Student Organizations,41
46,180 Degrees Consulting at Berkeley,Student Activity Group (SAG),136978,34020304000000,,,,$800,$800,Student Activity Groups (SAG),9
47,3D Modeling and Animation at Berkeley,Student Activity Group (SAG),222008,34020433600000,,,,"$1,000","$1,000",Student Activity Groups (SAG),6
48,AAAA - Furries at Berkeley,Student Activity Group (SAG),92145,34020542800000,,,,$650,$650,Student Activity Groups (SAG),3
49,acts2fellowship,Student Activity Group (SAG),45854,34020013200000,,,,"$5,760","$5,760",Student Activity Groups (SAG),23
50,Aerial and Pole Club at Berkeley,Student Activity Group (SAG),361228,34020560000000,,,,$650,$650,Student Activity Groups (SAG),2
51,Aerospace SAE,Student Activity Group (SAG),92082,34020299600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
52,African Inclusivity and Solidarity Association,Student Activity Group (SAG),77191,34020177200000,,,,$500,$500,Student Activity Groups (SAG),1
53,African Maghreb Student Union,Student Activity Group (SAG),46086,34020603200000,,,,$500,$500,Student Activity Groups (SAG),2
54,AFX Dance,Student Activity Group (SAG),91705,34020015200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),12
55,Aglet Noise Collective,Student Activity Group (SAG),378433,34020583600000,,,,$650,$650,Student Activity Groups (SAG),2
56,Alpha Epsilon Omega,Student Activity Group (SAG),94109,34020605600000,,,,$500,$500,Student Activity Groups (SAG),1
57,"Alpha Kappa Alpha Sorority, Inc.",Student Activity Group (SAG),45987,34020017200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
58,alpha Kappa Delta Phi,Student Activity Group (SAG),91909,34020535200000,,,,$585,$585,Student Activity Groups (SAG),3
59,"Alpha Phi Alpha Fraternity Inc, Alpha Epsilon Chapter",Student Activity Group (SAG),45988,34020018400000,,,,"$4,000","$4,000",Student Activity Groups (SAG),21
60,American Advertising Federations,Student Activity Group (SAG),45858,34020020400000,,,,$500,$500,Student Activity Groups (SAG),8
61,American Chemical Society at Berkeley Student Chapter,Student Activity Group (SAG),158433,34020354400000,,,,"$5,000","$5,000",Student Activity Groups (SAG),9
62,American Institute of Architecture Students,Student Activity Group (SAG),46423,34020021200000,,,,"$1,080","$1,080",Student Activity Groups (SAG),14
63,American Medical Students Association: Berkeley Premedical Chapter,Student Activity Group (SAG),45859,34020021600000,,,,"$1,800","$1,800",Student Activity Groups (SAG),26
64,American Medical Women's Association at Berkeley,Student Activity Group (SAG),91324,34020022000000,,,,"$1,600","$1,600",Student Activity Groups (SAG),9
65,American Physician Scientist Association at Berkeley,Student Activity Group (SAG),220489,34020439600000,,,,$500,$500,Student Activity Groups (SAG),1
66,Amores Valientes,Student Activity Group (SAG),91713,34020576000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
67,ANova,Student Activity Group (SAG),135400,34020309600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),8
68,ANRE AI Berkeley,Student Activity Group (SAG),385035,34020599200000,,,,$500,$500,Student Activity Groups (SAG),1
69,Arab Student Union,Student Activity Group (SAG),45863,34020025600000,,,,"$1,500","$1,500",Student Activity Groups (SAG),13
70,Argentine Tango Club of Berkeley,Student Activity Group (SAG),46536,34020026000000,,,,$855,$855,Student Activity Groups (SAG),5
71,Armenian Students Association,Student Activity Group (SAG),45865,34020026400000,,,,$650,$650,Student Activity Groups (SAG),2
72,Arnold Air Society,Student Activity Group (SAG),91798,34020392800000,,,,"$3,000","$3,000",Student Activity Groups (SAG),7
73,Aro/Ace Space at Berkeley,Student Activity Group (SAG),351118,34020528400000,,,,$650,$650,Student Activity Groups (SAG),2
74,Art and Mind,Student Activity Group (SAG),221627,34020427600000,,,,$500,$500,Student Activity Groups (SAG),7
75,Artists in Resonance,Student Activity Group (SAG),46731,34020294000000,,,,"$3,375","$3,375",Student Activity Groups (SAG),10
76,Asian American Association,Student Activity Group (SAG),45870,34020028800000,,,,"$5,400","$5,400",Student Activity Groups (SAG),27
77,Association for Socially Responsible Business,Student Activity Group (SAG),91682,34020371600000,,,,$900,$900,Student Activity Groups (SAG),7
78,Association of Korean Artists,Student Activity Group (SAG),220977,34020422000000,,,,$200,$200,Student Activity Groups (SAG),5
79,Association of Women in EE&CS,Student Activity Group (SAG),342808,34020530800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),3
80,Atlas Strategy Group,Student Activity Group (SAG),378444,34020578000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
81,Aurum Cosmetics,Student Activity Group (SAG),157733,34020357200000,,,,$720,$720,Student Activity Groups (SAG),6
82,Backstage At Berkeley,Student Activity Group (SAG),375307,34020576400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
83,Ballet Company At Berkeley,Student Activity Group (SAG),46565,34020035600000,,,,"$1,980","$1,980",Student Activity Groups (SAG),13
84,Ballet Folklorico Reflejos Del Sol,Student Activity Group (SAG),91710,34020036000000,,,,$960,$960,Student Activity Groups (SAG),11
85,Barbell at Berkeley,Student Activity Group (SAG),135269,34020365600000,,,,$500,$500,Student Activity Groups (SAG),2
86,Bay Area Environmentally Aware Consulting Network,Student Activity Group (SAG),46015,34020036800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),14
87,BCS Organizing Committee,Student Activity Group (SAG),222091,34020530400000,,,,$650,$650,Student Activity Groups (SAG),3
88,Bear Power Fund,Student Activity Group (SAG),119164,34020468400000,,,,"$2,385","$2,385",Student Activity Groups (SAG),5
89,Behavioral Economics Association at Berkeley,Student Activity Group (SAG),360312,34020555200000,,,,$650,$650,Student Activity Groups (SAG),3
90,BERC Undergraduate,Student Activity Group (SAG),230963,34020043600000,,,,$450,$450,Student Activity Groups (SAG),5
91,BERKE1337 Cyber Security Team,Student Activity Group (SAG),91452,34020529200000,,,,$650,$650,Student Activity Groups (SAG),2
92,Berkeley Chinese Students and Scholars Association,Student Activity Group (SAG),46468,34020042000000,,,,"$5,000","$5,000",Student Activity Groups (SAG),18
93,Berkeley Environmental Economics and Policy Students,Student Activity Group (SAG),91482,34020044000000,,,,$460,$460,Student Activity Groups (SAG),2
94,Berkeley Indonesian Student Association,Student Activity Group (SAG),"45,889",34020045600000,,,,$650,$650,Student Activity Groups (SAG),7
95,Berkeley Innovation,Student Activity Group (SAG),91216,34020046000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),8
96,Berkeley Organization for Animal Advocacy,Student Activity Group (SAG),45892,34020047600000,,,,$540,$540,Student Activity Groups (SAG),9
97,Berkeley Women in Business,Student Activity Group (SAG),45896,34020051200000,,,,$650,$650,Student Activity Groups (SAG),20
98,Beta Corporate Solutions,Student Activity Group (SAG),147516,34020489200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
99,BIA at Berkeley,Student Activity Group (SAG),378033,34020584000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
100,Big Data at Berkeley,Student Activity Group (SAG),235179,34020441200000,,,,$585,$585,Student Activity Groups (SAG),6
101,Bioengineering Mentor Program,Student Activity Group (SAG),362064,34020547200000,,,,$500,$500,Student Activity Groups (SAG),3
102,BioethiCAL,Student Activity Group (SAG),304125,34020557200000,,,,$650,$650,Student Activity Groups (SAG),3
103,Biofuels Technology Club,Student Activity Group (SAG),132779,34020402800000,,,,"$5,400","$5,400",Student Activity Groups (SAG),6
104,Biomedical Engineering Society,Student Activity Group (SAG),91227,34020469600000,,,,$500,$500,Student Activity Groups (SAG),5
105,Black Pre-Law Association,Student Activity Group (SAG),46341,34020053600000,,,,$800,$800,Student Activity Groups (SAG),7
106,Black Student Union,Student Activity Group (SAG),46578,34020054400000,,,,"$26,500","$26,500",Student Activity Groups (SAG),15
107,Black Students in Health Association,Student Activity Group (SAG),46045,34020054800000,,,,$585,$585,Student Activity Groups (SAG),2
108,Board Games at Berkeley,Student Activity Group (SAG),91892,34020369600000,,,,$650,$650,Student Activity Groups (SAG),2
109,Bone Health Initiative,Student Activity Group (SAG),117788,34020284800000,,,,$700,$700,Student Activity Groups (SAG),9
110,Brazilian Student Association at Berkeley,Student Activity Group (SAG),117507,34020441600000,,,,$500,$500,Student Activity Groups (SAG),1
111,Brick by Brick at Berkeley,Student Activity Group (SAG),91961,34020603600000,,,,$500,$500,Student Activity Groups (SAG),1
112,BridgeUSA at Berkeley,Student Activity Group (SAG),165240,34020370400000,,,,"$4,000","$4,000",Student Activity Groups (SAG),7
113,Cal American Civil Liberties Union,Student Activity Group (SAG),45880,34020039200000,,,,$500,$500,Student Activity Groups (SAG),8
114,Cal Berkeley Democrats,Student Activity Group (SAG),45903,34020060400000,,,,"$4,500","$4,500",Student Activity Groups (SAG),27
115,Cal Dragon Boat,Student Activity Group (SAG),45904,34020062000000,,,,"$13,000","$13,000",Student Activity Groups (SAG),21
116,Cal Hawai'i Club,Student Activity Group (SAG),45905,34020062800000,,,,"$3,600","$3,600",Student Activity Groups (SAG),36
117,Cal Hiking and Outdoors Society,Student Activity Group (SAG),45906,34020063600000,,,,"$6,720","$6,720",Student Activity Groups (SAG),76
118,Cal in the Capital,Student Activity Group (SAG),45907,34020064400000,,,,"$1,500","$1,500",Student Activity Groups (SAG),46
119,Cal Japan Club,Student Activity Group (SAG),45909,34020064800000,,,,"$2,800","$2,800",Student Activity Groups (SAG),17
120,Cal Pre-Vet Club,Student Activity Group (SAG),45912,34020066400000,,,,$585,$585,Student Activity Groups (SAG),14
121,Cal Queer & Asian,Student Activity Group (SAG),46079,34020066800000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),16
122,Cal Taiko,Student Activity Group (SAG),45916,34020068000000,,,,"$5,600","$5,600",Student Activity Groups (SAG),19
123,Cal Undergraduate Public Health Coalition,Student Activity Group (SAG),45918,34020068400000,,,,"$1,030","$1,030",Student Activity Groups (SAG),20
124,California Mock Trial,Student Activity Group (SAG),45919,34020070000000,,,,"$30,000","$30,000",Student Activity Groups (SAG),24
125,Cantonese Initiative of Berkeley,Student Activity Group (SAG),385228,34020598000000,,,,$450,$450,Student Activity Groups (SAG),1
126,Caribbean Student Association,Student Activity Group (SAG),385095,34020600000000,,,,$450,$450,Student Activity Groups (SAG),1
127,Celerity Traditional Dance Team,Student Activity Group (SAG),368856,34020580400000,,,,$500,$500,Student Activity Groups (SAG),1
128,Chess Club at Berkeley,Student Activity Group (SAG),91902,34020343200000,,,,$650,$650,Student Activity Groups (SAG),2
129,Chinese A Cappella at Berkeley,Student Activity Group (SAG),91326,34020274000000,,,,$800,$800,Student Activity Groups (SAG),8
130,Chinese Student Association,Student Activity Group (SAG),45927,34020076400000,,,,"$13,900","$13,900",Student Activity Groups (SAG),35
131,Chinese Undergraduate Pre-Law Student Association,Student Activity Group (SAG),351386,34020536000000,,,,$650,$650,Student Activity Groups (SAG),3
132,Cinematic Arts and Production Club,Student Activity Group (SAG),222010,34020472400000,,,,"$6,000","$6,000",Student Activity Groups (SAG),5
133,Circle K International,Student Activity Group (SAG),45928,34020078400000,,,,"$5,040","$5,040",Student Activity Groups (SAG),30
134,Code For Good,Student Activity Group (SAG),343558,34020410000000,,,,$650,$650,Student Activity Groups (SAG),3
135,Codeology,Student Activity Group (SAG),91287,34020398400000,,,,"$2,000","$2,000",Student Activity Groups (SAG),7
136,Codify,Student Activity Group (SAG),368338,34020559200000,,,,$400,$400,Student Activity Groups (SAG),2
137,Cognitive Science Students Association,Student Activity Group (SAG),46287,34020081600000,,,,$500,$500,Student Activity Groups (SAG),4
138,Collaborative Dorms Society,Student Activity Group (SAG),378430,34020586800000,,,,$500,$500,Student Activity Groups (SAG),1
139,ColorStack at Berkeley,Student Activity Group (SAG),385102,34020597200000,,,,$500,$500,Student Activity Groups (SAG),2
140,Computer Science Undergraduate Association,Student Activity Group (SAG),45930,34020085600000,,,,"$2,024","$2,024",Student Activity Groups (SAG),50
141,Consult Your Community (CYC) at Berkeley,Student Activity Group (SAG),83091,34020086000000,,,,"$1,700","$1,700",Student Activity Groups (SAG),11
142,Core Consulting Group,Student Activity Group (SAG),361237,34020549200000,,,,$500,$500,Student Activity Groups (SAG),2
143,Creative Applications to Life in Origami,Student Activity Group (SAG),46563,34020087200000,,,,$600,$600,Student Activity Groups (SAG),11
144,Creative Writers Association,Student Activity Group (SAG),220452,34020594400000,,,,$650,$650,Student Activity Groups (SAG),1
145,Cricket Club of Berkeley,Student Activity Group (SAG),91905,34020434800000,,,,$650,$650,Student Activity Groups (SAG),3
146,Crossword Club,Student Activity Group (SAG),122515,34020602800000,,,,$450,$450,Student Activity Groups (SAG),1
147,CS KickStart,Student Activity Group (SAG),56944,34020089200000,,,,"$4,000","$4,000",Student Activity Groups (SAG),10
148,Dance Games at Berkeley,Student Activity Group (SAG),342892,34020520400000,,,,$585,$585,Student Activity Groups (SAG),3
149,Dance the Bay,Student Activity Group (SAG),92069,34020090400000,,,,"$1,530","$1,530",Student Activity Groups (SAG),11
150,Data Science Society at Berkeley,Student Activity Group (SAG),144718,34020307600000,,,,"$2,500","$2,500",Student Activity Groups (SAG),9
151,DataGood Berkeley,Student Activity Group (SAG),320218,34020487200000,,,,"$1,900","$1,900",Student Activity Groups (SAG),4
152,DataStory,Student Activity Group (SAG),290145,34020461200000,,,,$650,$650,Student Activity Groups (SAG),4
153,Datong Society of China Studies,Student Activity Group (SAG),91486,34020304800000,,,,$650,$650,Student Activity Groups (SAG),4
154,Debate Society of Berkeley,Student Activity Group (SAG),71335,34020022800000,,,,"$14,000","$14,000",Student Activity Groups (SAG),12
155,DeCadence,Student Activity Group (SAG),45937,34020092000000,,,,"$2,250","$2,250",Student Activity Groups (SAG),24
156,Delta Consulting ,Student Activity Group (SAG),320987,34020491600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),5
157,"Delta Sigma Theta Sorority, Incorporated Kappa Chapter",Student Activity Group (SAG),46108,34020093600000,,,,$500,$500,Student Activity Groups (SAG),2
158,Department of Integrative Biology Students,Student Activity Group (SAG),54275,34020094400000,,,,"$1,550","$1,550",Student Activity Groups (SAG),5
159,Dermatological at Berkeley,Student Activity Group (SAG),376131,34020606000000,,,,$500,$500,Student Activity Groups (SAG),1
160,Design at Berkeley,Student Activity Group (SAG),321623,34020484800000,,,,$650,$650,Student Activity Groups (SAG),4
161,Diversity and Inclusion in Real Estate,Student Activity Group (SAG),368380,34020563600000,,,,$500,$500,Student Activity Groups (SAG),1
162,DREAM Campus Ministry,Student Activity Group (SAG),92008,34020379600000,,,,$650,$650,Student Activity Groups (SAG),2
163,Dutch Student Association at Berkeley,Student Activity Group (SAG),91534,34020401200000,,,,$500,$500,Student Activity Groups (SAG),2
164,East Asian Caucus,Student Activity Group (SAG),91273,34020590800000,,,,$500,$500,Student Activity Groups (SAG),1
165,East Asian Culinary Club,Student Activity Group (SAG),361428,34020548800000,,,,$650,$650,Student Activity Groups (SAG),3
166,East Asian Union,Student Activity Group (SAG),46534,34020098400000,,,,"$8,000","$8,000",Student Activity Groups (SAG),15
167,Engineering Student Council (ESC),Student Activity Group (SAG),45944,34020103200000,,,,"$80,000","$80,000",Student Activity Groups (SAG),34
168,English Undergraduate Association,Student Activity Group (SAG),45946,34020105200000,,,,$500,$500,Student Activity Groups (SAG),1
169,Entomology Club,Student Activity Group (SAG),159392,34020406400000,,,,$500,$500,Student Activity Groups (SAG),2
170,Entrepreneurs@Berkeley,Student Activity Group (SAG),46522,34020406800000,,,,$500,$500,Student Activity Groups (SAG),4
171,Environmental Sciences Student Association,Student Activity Group (SAG),91488,34020297200000,,,,$650,$650,Student Activity Groups (SAG),4
172,Environmental Team,Student Activity Group (SAG),91245,34020504400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
173,Eta Kappa Nu (under ESC),Student Activity Group (SAG),91271,34020467200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),9
174,EthiCAL Apparel,Student Activity Group (SAG),46624,34020107200000,,,,$650,$650,Student Activity Groups (SAG),3
175,Faces of African Muslims,Student Activity Group (SAG),165193,34020400000000,,,,"$8,000","$8,000",Student Activity Groups (SAG),7
176,Fashion and Student Trends,Student Activity Group (SAG),45950,34020108400000,,,,"$8,500","$8,500",Student Activity Groups (SAG),13
177,Fei Tian Dancers,Student Activity Group (SAG),45951,34020109200000,,,,"$2,000","$2,000",Student Activity Groups (SAG),19
178,Fiat Lux Scholars Association,Student Activity Group (SAG),91236,34020065600000,,,,$650,$650,Student Activity Groups (SAG),2
179,Fighting Games at Berkeley,Student Activity Group (SAG),343225,34020528800000,,,,$540,$540,Student Activity Groups (SAG),2
180,Finance Club at Berkeley (BFC) [Formerly Sales and Trading Club at Berkeley],Student Activity Group (SAG),83003,34020434400000,,,,$500,$500,Student Activity Groups (SAG),2
181,Financial Education Association of Berkeley,Student Activity Group (SAG),342607,34020518000000,,,,$360,$360,Student Activity Groups (SAG),1
182,Foresight Pre-Optometry Club,Student Activity Group (SAG),45954,34020111600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),31
183,Formula Electric at Berkeley (Formerly bLoop),Student Activity Group (SAG),138585,34020300400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),4
184,Freestyles at Berkeley,Student Activity Group (SAG),91590,34020606400000,,,,$400,$400,Student Activity Groups (SAG),1
185,Frontera at Berkeley,Student Activity Group (SAG),368347,34020564400000,,,,$500,$500,Student Activity Groups (SAG),1
186,"Future Business Leaders of America-Phi Beta Lambda, Inc.",Student Activity Group (SAG),45958,34020114400000,,,,"$3,420","$3,420",Student Activity Groups (SAG),19
187,Game Design and Development at Berkeley,Student Activity Group (SAG),91401,34020430400000,,,,$750,$750,Student Activity Groups (SAG),6
188,Gamma Epsilon Mu,Student Activity Group (SAG),385418,34020606800000,,,,$500,$500,Student Activity Groups (SAG),1
189,Garuda Capital,Student Activity Group (SAG),361557,34020607200000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
190,Gender Equity in Mathematics at Berkeley,Student Activity Group (SAG),91772,34020260400000,,,,$800,$800,Student Activity Groups (SAG),10
191,GENup Collegiate at Berkeley,Student Activity Group (SAG),321245,34020557600000,,,,$500,$500,Student Activity Groups (SAG),1
192,GeoWall at Berkeley,Student Activity Group (SAG),290340,34020506400000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),1
193,Girl Up at Berkeley,Student Activity Group (SAG),92014,34020296000000,,,,$650,$650,Student Activity Groups (SAG),3
194,Glamity at Berkeley,Student Activity Group (SAG),376133,34020607600000,,,,$450,$450,Student Activity Groups (SAG),1
195,GlamourGals at Berkeley,Student Activity Group (SAG),377198,34020591200000,,,,$500,$500,Student Activity Groups (SAG),1
196,Haas Finance Group (HFG),Student Activity Group (SAG),378619,34020608000000,,,,$500,$500,Student Activity Groups (SAG),1
197,Haas Undergraduate Black Business Association,Student Activity Group (SAG),46300,34020121200000,,,,$585,$585,Student Activity Groups (SAG),7
198,Hackathons at Berkeley,Student Activity Group (SAG),123010,34020495600000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),2
199,Healthcare Business Association at Berkeley,Student Activity Group (SAG),290345,34020464800000,,,,$500,$500,Student Activity Groups (SAG),1
200,Healthcare Consulting Group at Berkeley,Student Activity Group (SAG),221241,34020431600000,,,,$630,$630,Student Activity Groups (SAG),6
201,Hermanas Unidas de UC Berkeley,Student Activity Group (SAG),46141,34020124400000,,,,$650,$650,Student Activity Groups (SAG),2
202,"Hindu YUVA-Youth for Unity, Virtues and Action",Student Activity Group (SAG),91523,34020566000000,,,,$650,$650,Student Activity Groups (SAG),2
203,Hispanic Engineers and Scientists,Student Activity Group (SAG),46147,34020126000000,,,,$585,$585,Student Activity Groups (SAG),9
204,Historical Fencing Club of Berkeley,Student Activity Group (SAG),46714,34020420400000,,,,"$2,200","$2,200",Student Activity Groups (SAG),6
205,Hong Kong Student Association,Student Activity Group (SAG),45965,34020127200000,,,,"$1,800","$1,800",Student Activity Groups (SAG),30
206,HOSA Future Health Professionals of Berkeley,Student Activity Group (SAG),290346,34020608400000,,,,$500,$500,Student Activity Groups (SAG),1
207,iGEM at Berkeley,Student Activity Group (SAG),235895,34020432000000,,,,SPONSORSHIP ONLY (ABSA),$0,Student Activity Groups (SAG),6
208,Indian Students Association,Student Activity Group (SAG),45966,34020130400000,,,,"$9,600","$9,600",Student Activity Groups (SAG),21
209,Institute of Industrial and Systems Engineers,Student Activity Group (SAG),91280,34020293600000,,,,$500,$500,Student Activity Groups (SAG),1
210,"Intermission Orchestra, The",Student Activity Group (SAG),91332,34020385600000,,,,"$2,250","$2,250",Student Activity Groups (SAG),7
211,International Consulting Club at Berkeley,Student Activity Group (SAG),289736,34020538000000,,,,$650,$650,Student Activity Groups (SAG),3
212,International Healthcare Association,Student Activity Group (SAG),325447,34020494000000,,,,$650,$650,Student Activity Groups (SAG),5
213,InterVarsity Christian Fellowship,Student Activity Group (SAG),45974,34020137600000,,,,"$5,850","$5,850",Student Activity Groups (SAG),26
214,Invention Corps of Berkeley,Student Activity Group (SAG),164469,34020360000000,,,,"$1,500","$1,500",Student Activity Groups (SAG),5
215,Iranian Students Cultural Organization,Student Activity Group (SAG),45976,34020139200000,,,,"$14,000","$14,000",Student Activity Groups (SAG),26
